season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,Style,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain
2023,1359475,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,Mohammed Shami,Mohammed Shami,Right-arm fast-medium,4,0,29,2,7.25,13,2,2,0,1,FALSE
2023,1359475,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,HH Pandya,Hardik Pandya,Right-arm medium-fast,3,0,28,0,9.33,6,2,2,0,0,TRUE
2023,1359475,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,JB Little,Josh Little,Left-arm medium-fast,4,0,41,1,10.25,10,4,3,0,0,FALSE
2023,1359475,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,Rashid Khan,Rashid Khan,Right-arm leg break,4,0,26,2,6.5,10,2,1,0,0,FALSE
2023,1359475,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,AS Joseph,Alzarri Joseph,Right-arm fast,4,0,33,2,8.25,8,0,3,0,0,FALSE
2023,1359475,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,Yash Dayal,Yash Dayal,Left-arm medium-fast,1,0,14,0,14,2,0,2,0,0,FALSE
2023,1359475,GT v CSK,GT,CSK,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,2,DL Chahar,Deepak Chahar,Right-arm medium-fast,4,0,29,0,7.25,9,1,2,0,0,FALSE
2023,1359475,GT v CSK,GT,CSK,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,2,TU Deshpande,Tushar Deshpande,Right-arm medium-fast,3.2,0,51,1,15.3,5,4,4,1,1,FALSE
2023,1359475,GT v CSK,GT,CSK,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,2,RS Hangargekar,Rajvardhan Hangargekar,Right-arm medium-fast,4,0,36,3,9,10,4,1,3,1,FALSE
2023,1359475,GT v CSK,GT,CSK,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,2,MJ Santner,Mitchell Santner,Slow left-arm orthodox spin,4,0,32,0,8,7,5,0,0,0,FALSE
